geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 68; Shelby County; Tennessee,2043,35.8,37845,2027,653,926,191,898,395,503,813,93000,47,157,006800
Census Tract 69; Shelby County; Tennessee,2234,46.4,40972,2234,823,1065,170,993,491,502,1069,83200,47,157,006900
Census Tract 70; Shelby County; Tennessee,2636,29.0,23653,2636,1344,1335,279,1369,249,1120,1091,103700,47,157,007000
Census Tract 71; Shelby County; Tennessee,2518,45.8,124583,2518,126,1358,10,1089,984,105,1007,650200,47,157,007100
Census Tract 72; Shelby County; Tennessee,2782,31.4,88411,2771,458,2035,110,1615,809,806,1694,303200,47,157,007200
Census Tract 73; Shelby County; Tennessee,3837,23.3,36908,2527,782,2283,135,1621,358,1263,955,356200,47,157,007300
Census Tract 74; Shelby County; Tennessee,3178,25.7,38201,3105,1304,2025,113,1503,343,1160,1171,166200,47,157,007400
Census Tract 75; Shelby County; Tennessee,1188,48.4,30542,1188,245,474,100,562,312,250,1055,74800,47,157,007500
Census Tract 78.10; Shelby County; Tennessee,1980,47.0,29630,1980,640,785,39,1096,518,578,931,75800,47,157,007810
Census Tract 78.21; Shelby County; Tennessee,4099,50.9,44643,4099,1594,1895,135,2184,841,1343,911,79900,47,157,007821
Census Tract 78.22; Shelby County; Tennessee,1316,43.5,30256,1316,455,528,50,588,379,209,1040,67100,47,157,007822
Census Tract 79; Shelby County; Tennessee,4590,50.5,35644,4522,943,1961,344,2079,1108,971,987,78900,47,157,007900
Census Tract 80; Shelby County; Tennessee,4732,36.9,55694,4732,1382,2282,167,1843,656,1187,1182,99300,47,157,008000
Census Tract 81.10; Shelby County; Tennessee,1857,27.4,31354,1845,819,776,147,599,261,338,906,78400,47,157,008110
Census Tract 81.20; Shelby County; Tennessee,3933,45.5,29213,3933,1210,2072,447,1940,901,1039,744,67700,47,157,008120
Census Tract 82; Shelby County; Tennessee,5815,21.2,35260,5229,2448,1788,88,1470,456,1014,1299,62700,47,157,008200
Census Tract 85; Shelby County; Tennessee,4143,48.7,182250,4143,275,1885,37,1696,1419,277,1255,642500,47,157,008500
Census Tract 86; Shelby County; Tennessee,5643,38.8,88519,5633,426,2869,64,2461,1562,899,1378,390100,47,157,008600
Census Tract 87; Shelby County; Tennessee,5833,30.3,45282,5833,1982,2573,3,2019,1081,938,1139,133000,47,157,008700
Census Tract 88; Shelby County; Tennessee,7862,27.3,41583,7807,1502,3058,76,2242,1185,1057,1074,92200,47,157,008800
Census Tract 89; Shelby County; Tennessee,4090,34.9,41635,4090,843,1999,210,1389,851,538,1120,76400,47,157,008900
Census Tract 91; Shelby County; Tennessee,3039,30.9,39344,2931,929,1312,80,948,495,453,1016,95300,47,157,009100
Census Tract 92.01; Shelby County; Tennessee,3139,37.3,111652,3139,64,1756,28,1467,1229,238,1718,346600,47,157,009201
Census Tract 92.02; Shelby County; Tennessee,3690,33.4,99774,3688,190,2169,73,1465,1129,336,1629,297100,47,157,009202
Census Tract 93; Shelby County; Tennessee,3698,34.4,61383,3681,872,1993,145,1878,1236,642,1381,217800,47,157,009300
Census Tract 94; Shelby County; Tennessee,3118,40.9,78563,3118,163,1954,10,1598,1203,395,1475,210100,47,157,009400
Census Tract 95.01; Shelby County; Tennessee,3237,33.2,79089,3192,358,2038,24,1349,940,409,1622,213400,47,157,009501
Census Tract 95.02; Shelby County; Tennessee,3304,52.4,88625,3304,167,1872,176,1506,1353,153,1427,260700,47,157,009502
Census Tract 96; Shelby County; Tennessee,4759,48.6,169847,4732,515,2387,62,2034,1689,345,2165,531900,47,157,009600
Census Tract 97; Shelby County; Tennessee,2848,32.6,51074,2848,562,1344,131,939,470,469,1478,116800,47,157,009700
